channel_id,view_count,sub_count,video_count,created_at,created_date
UC6FcYHEm7SO1jpu5TKjNXEA,1153349159,3570000,338,2024-02-09 06:23:27.574066+00,2024-02-09
UC6VKHP606ee6ffKwKmBHSig,369844790,1590000,240,2024-02-09 06:23:27.574066+00,2024-02-09
UC7ia-A8gma8qcdC6GDcjwsQ,316325363,1390000,577,2024-02-09 06:23:27.574066+00,2024-02-09
UC7ovu6a8ydIbDy0fAKmoZ9A,3997545248,2750000,2206,2024-02-09 06:23:27.574066+00,2024-02-09
UC7XxnhjdYjiQJ3m80K_N_4g,179101327,1370000,141,2024-02-09 06:23:27.574066+00,2024-02-09
UC8CU5nVhCQIdAGrFFp4loOQ,4171577284,2940000,27,2024-02-09 06:23:27.574066+00,2024-02-09
UC8wI85SlecrsLdPm-I73PzA,393173312,1470000,304,2024-02-09 06:23:27.574066+00,2024-02-09
UC8zkK0-g8S8Z_t8ZjUmpAlA,186361368,1540000,569,2024-02-09 06:23:27.574066+00,2024-02-09
UC9i2Qgd5lizhVgJrdnxunKw,358675779,1830000,416,2024-02-09 06:23:27.574066+00,2024-02-09
UC9YOQFPfEUXbulKDtxeqqBA,370792368,1140000,668,2024-02-09 06:23:27.574066+00,2024-02-09
UCAqzHNzLTC6Vm5UYE7xw_2A,706858564,1620000,11971,2024-02-09 06:23:27.574066+00,2024-02-09
UCAYrMNl92jw6cpjdpBP8JyA,371030186,2550000,564,2024-02-09 06:23:27.574066+00,2024-02-09
UCbIJeyl_va8MG2xx0q4Uobg,371727329,1470000,359,2024-02-09 06:23:27.574066+00,2024-02-09
UCcb9uxCoIgw7RQjQnlgd0Xw,186903485,1460000,604,2024-02-09 06:23:27.574066+00,2024-02-09
UCCBq7s8VOCyek275uvq5lYQ,561068756,1540000,2003,2024-02-09 06:23:27.574066+00,2024-02-09
UCCsUQXwhDj4iVlhG4VCq6Kg,2558198497,1540000,1568,2024-02-09 06:23:27.574066+00,2024-02-09
UCCtTgzGzQSWVzCG0xR7U-MQ,401184133,1500000,3840,2024-02-09 06:23:27.574066+00,2024-02-09
UCdEpz2A4DzV__4C1x2quKLw,114780282,1410000,490,2024-02-09 06:23:27.574066+00,2024-02-09
