video_id,view_count,like_count,comment_count,created_date,created_at
FXAVjmtV6Tw,51667,1756,4,2024-02-12,2024-02-12 14:10:13.869971+00
XA7z-U2H1qw,12234,406,19,2024-02-12,2024-02-12 14:10:13.869971+00
n8ggqoLSDPI,17673,377,26,2024-02-12,2024-02-12 14:10:13.869971+00
2_XGwn1UbxQ,4054,70,0,2024-02-12,2024-02-12 14:10:13.869971+00
C6DaQCrH2yI,18909,639,4,2024-02-12,2024-02-12 14:10:13.869971+00
zS1o0X8uKO8,16046,651,5,2024-02-12,2024-02-12 14:10:13.869971+00
311xTUl5jjQ,128840,4058,17,2024-02-12,2024-02-12 14:10:13.869971+00
eqNf_liLHR4,137090,2211,65,2024-02-12,2024-02-12 14:10:13.869971+00
WS41WuN7k2I,213228,3711,108,2024-02-12,2024-02-12 14:10:13.869971+00
SpklSHStpJs,110681,2102,41,2024-02-12,2024-02-12 14:10:13.869971+00
VNTMl2F3_rw,227732,6858,163,2024-02-12,2024-02-12 14:10:13.869971+00
Ux7RF7UJG_s,153180,2814,58,2024-02-12,2024-02-12 14:10:13.869971+00
zQ55k9QhuVc,72861,1011,41,2024-02-12,2024-02-12 14:10:13.869971+00
TaomzC9P7Vo,78358,2485,91,2024-02-12,2024-02-12 14:10:13.869971+00
oOEl86eKtcs,132418,3380,93,2024-02-12,2024-02-12 14:10:13.869971+00
SvHqJcwNTM0,530,23,1,2024-02-12,2024-02-12 14:10:13.869971+00
hRqs9Q2AKmw,50801,1283,49,2024-02-12,2024-02-12 14:10:13.869971+00
yCoJ64ZjAW4,91469,2442,83,2024-02-12,2024-02-12 14:10:13.869971+00
04GWY5whX9c,86409,1938,56,2024-02-12,2024-02-12 14:10:13.869971+00
LHXKUy67NgE,12241,198,41,2024-02-12,2024-02-12 14:10:13.869971+00
i8jygK87sPU,13030,144,42,2024-02-12,2024-02-12 14:10:13.869971+00
8Clqk5oilsA,59528,1830,71,2024-02-12,2024-02-12 14:10:13.869971+00
62pJSI-rehA,56457,1575,36,2024-02-12,2024-02-12 14:10:13.869971+00
vNK4wNsXPh4,94328,2529,48,2024-02-12,2024-02-12 14:10:13.869971+00
ClVpvAh9Y7M,268143,5824,134,2024-02-12,2024-02-12 14:10:13.869971+00
U2EE5wMJPvs,484556,7209,166,2024-02-12,2024-02-12 14:10:13.869971+00
8PcDrsMHe5A,1131008,24085,736,2024-02-12,2024-02-12 14:10:13.869971+00
XvY35qF1OPA,194224,2611,281,2024-02-12,2024-02-12 14:10:13.869971+00
90H--Ul5S8I,4945,36,0,2024-02-12,2024-02-12 14:10:13.869971+00
Whgpq0bSZWc,348898,5444,96,2024-02-12,2024-02-12 14:10:13.869971+00
U8EJZGk7ihY,153320,2374,35,2024-02-12,2024-02-12 14:10:13.869971+00
